2025-02-11 09:12:36 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@35e55afa, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@559baea1, org.springframework.security.web.context.SecurityContextHolderFilter@20bd4fd2, org.springframework.security.web.header.HeaderWriterFilter@20bd3082, org.springframework.web.filter.CorsFilter@16ac67e3, org.springframework.security.web.authentication.logout.LogoutFilter@4a547f9d, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@1bc41170, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1ebb6e20, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@85420, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6eef7af3, org.springframework.security.web.access.ExceptionTranslationFilter@19324eab, org.springframework.security.web.access.intercept.AuthorizationFilter@6dac64ea]
2025-02-11 09:12:36 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-02-11 09:12:36 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/identity_service'
2025-02-11 09:12:36 [main] INFO  c.e.i.IdentityServiceApplication - Started IdentityServiceApplication in 5.891 seconds (process running for 6.596)
2025-02-11 09:17:15 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-02-11 09:17:15 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-02-11 09:17:15 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-02-11 09:17:28 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-02-11 09:17:28 [main] INFO  c.e.i.IdentityServiceApplication - Starting IdentityServiceApplication using Java 23.0.2 with PID 4648 (C:\Code\Java\identity_service\target\classes started by Duong in C:\Code\Java\identity_service)
2025-02-11 09:17:28 [main] INFO  c.e.i.IdentityServiceApplication - The following 1 profile is active: "prod"
2025-02-11 09:17:29 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-02-11 09:17:29 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 78 ms. Found 12 JPA repository interfaces.
2025-02-11 09:17:29 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-02-11 09:17:29 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
